.	0	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	0	111974724	124409613	157091299	161442962	164232124	199918908	202913883	203000615	207062832	218482738	239316297	243508004	276132465	343511529	412804254	500753590	507955622	708284072	1564179721	1691232951	2714620812	
.	1	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	1	106857266	117898522	146904722	150886485	159111359	201545781	204458448	204992451	208983649	222191511	241140132	245036801	275967241	337553796	416422546	496881700	503882033	682584324	1470117573	1542864101	2714620812	
.	2	2	7	10	12	15	16	18	19	20	22	23	24	25	26	27	28	29	30	31	33	34	
.	2	111301570	122525620	150848189	154776436	162671537	202563494	205340947	205711717	209777580	224860664	243084450	246815949	278569139	339746320	420009512	501182457	507939206	682966897	1449410480	1516010436	2714620812	
.	3	2	7	10	12	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	35	37	
.	3	106009885	116981318	145068768	148950363	162471931	181785731	184465088	200775421	204723774	215337512	219371185	223066944	240837880	266286298	285988188	327064211	329684382	393261205	408472585	509930117	604949717	1211197450	2714620812	
.	4	2	7	10	12	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	35	37	
.	4	114119006	124141863	151601107	155218863	168774188	186588324	189129427	202047785	205743337	216573384	220591445	223993902	241774934	267183656	286890954	328668143	331101359	392891837	406682635	510180055	606508081	1220621671	2714620812	
.	5	2	6	7	8	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	5	109887034	109891955	113854685	122453290	139348213	146446378	148002115	150360194	150455496	152426459	155279661	186842941	192249143	200624060	201469297	203180965	209106559	218775053	221470782	240431688	263235608	280020558	309282104	327225977	385589198	407097790	512838309	603944115	603947398	1173295071	1221632740	2714620812	
.	6	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	6	114490239	114492508	114504210	117649021	126514901	126514905	144771961	152280540	153370621	155684149	155784687	157855367	160759396	188705323	194275769	202291770	203136209	204877548	210865591	220780433	223405802	242671529	265540003	282658968	311368057	329298931	387538785	409787701	514239342	604473187	604478629	1173597684	1221899224	2714620812	
.	7	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	7	115404248	115409125	115422151	118305556	126808999	126809023	144209832	151372117	152308441	154537337	154636877	156733568	159690325	187236180	192750279	200597665	201534786	203255724	209237674	218915538	221655842	240686303	263718851	282031897	310856008	328815391	387781824	410028801	515710311	606071258	606077446	1174313266	1222773850	2714620812	
.	8	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	8	113056774	113064229	113077520	116011411	124608246	124608304	142162753	149445568	150322826	152565359	152664048	154788661	157679361	184299763	190977259	199034902	199926278	201694896	207694460	217620837	220347208	239592207	247922407	282675110	309187322	327739574	387680546	409947128	486394552	554403819	608011330	806415020	807066607	1121039735	1278511764	2714620812	
.	9	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	9	124552068	124563134	124575932	127017154	134700837	134701927	151249936	158013104	158729894	160820978	160910188	162959843	165653730	187409062	193042609	200526070	201287797	202987023	208938699	218381374	220936338	239570264	247689589	285658442	307767692	325893157	385193049	406113485	483310545	551577278	604357317	803414648	804061805	1119249937	1278143032	2714620812	
.	10	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	10	119967838	119982369	119995324	123150537	130825354	130841031	147584979	154375743	155459676	157464311	157556477	159560801	162344107	188348724	194895524	202712460	203424631	205129214	211128264	220425781	222880554	241131196	249284309	291269862	307582505	325741202	386250823	405938274	482590745	551331495	603695585	803776743	804426594	1120483562	1281308637	2714620812	
.	11	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	11	124299726	124317371	124334111	127136684	135284597	135324586	153395425	160799880	161714387	163700896	163794307	165830447	168690665	191661571	197678140	205518168	206279807	208002018	213993382	223985636	226294949	245884236	253907038	302030024	313560716	331513978	392052723	411184209	488022396	557474408	609059267	809551597	810205993	1126357206	1288917301	2714620812	
.	12	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	
.	12	125916508	125935544	125953996	128856865	136790517	136864197	154467981	161678767	162533833	164469412	164559083	166660759	169462349	193710762	200232264	208152595	208897769	210607309	216583199	226220714	228709359	247347075	255418311	304708014	314913649	333252477	393115672	411411191	489191298	558510884	610662500	811583185	812230511	1129515217	1293173924	2714620812	
.	13	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	13	124173922	124193860	124234749	126732343	134133168	134247902	151113171	157954108	158933678	160797519	160883458	161379804	165018070	193341219	200215354	208077548	208815752	210513663	216461757	220709974	228415478	247293780	255470762	304545036	314693944	332342081	369395063	409920572	474106209	541938615	598809554	631738328	764738244	862073422	1110944203	1277539631	1762850935	2714620812	
.	14	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	14	121196308	121217676	121297593	123593942	130866222	131034702	147821690	154510746	155340578	157128968	157238440	157772919	161527453	188716169	195655032	203540471	204437391	206152135	212098670	216767157	224795872	244118029	252547895	301534201	312663603	330737638	368416267	410429044	474286434	542616950	599057485	632430722	765648428	863243708	1113617835	1280648352	1767861489	2714620812	
.	15	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	15	125912732	125935660	126022985	128035532	135752697	135977083	152731709	159499105	160093465	161937148	162076409	162626172	166409882	188502413	194488427	202233229	203035899	204808446	210788034	215367396	223638996	242397186	250845701	299715890	310978212	329951190	368650496	410768210	474631958	543361730	599345493	633129054	766291049	863835899	1115052004	1281953919	1771288405	2714620812	
.	16	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	16	129074092	129098524	129190887	131468967	138795945	139090412	155717733	162385911	163066128	164873364	165020269	165601930	169417806	191232880	197244534	204941250	205749486	207530024	213488429	217875059	226185880	244736525	253302935	301423955	312032126	330444445	370304500	411628884	475046646	544236459	600306206	634761580	768451937	866574428	1118945749	1286154932	1776412061	2714620812	
.	17	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	17	134930256	134958637	135060253	137157657	145146265	145545261	163360569	170447830	170907976	172711774	172869576	173516127	177554115	198157620	204123936	212070670	212732363	214568652	220565841	224925371	233378272	252292276	260572494	308930076	318963894	337755203	377557190	418496258	481443211	551391508	607500063	642790846	776845896	875689728	1129769174	1296675180	1787142101	2714620812	
.	18	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	18	132736370	132765000	132874271	134986879	142368053	142855858	159570361	166171517	166891043	168637933	168789206	169484157	172940370	175608657	206270525	214304318	214926501	216742440	222667495	226884812	235340620	252971873	262043387	309748648	319531698	337900643	377427255	417556831	479913928	527266886	607066548	643004721	748452460	855270530	1053592693	1259364818	1773729736	2714620812	
.	19	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	19	133105329	133135547	133255937	135243706	142803817	143434467	160285658	166943539	167683676	169415470	169579665	170332205	173965807	180794353	204329701	212088884	212751462	214610394	220498304	225252701	233867413	252321816	261396480	309264033	319434874	337873668	377826841	417910679	479179802	526912706	605954400	642374481	747494837	854750610	1052997966	1263486328	1776030876	2714620812	
.	20	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	20	133532888	133564214	133702398	135809266	143201646	144002917	160439802	166893869	167618969	169307413	169481962	170315155	174215058	178136418	201705515	209364163	210227197	212127024	217980694	223117850	232478500	250349993	259581134	306813849	318182913	337497690	378235319	419825248	480758158	528871469	607474496	644702738	750021260	857275343	1056570295	1270567760	1780774584	2714620812	
.	21	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	21	133902625	133934742	134089400	135966337	143131324	144139689	159932039	165939302	166509997	168144165	168330627	169246998	173470582	178480178	200502313	208212470	209128228	211062055	216904936	221943924	231974065	249267445	259036763	305583867	316988946	336416836	379480078	421447868	481994435	530682132	609673056	647968163	753923998	861944597	1063055926	1281348987	1789019634	2714620812	
.	22	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	22	138736339	138782725	138941265	140929131	148440018	149757826	165781928	171605017	172087427	173699729	173895292	174923703	179509224	184979256	204798473	212617302	213586686	215564956	221402443	226590102	237330726	254400495	263948134	309857148	320496848	339571849	383492330	424616359	484645704	533798206	612870434	652335983	758733204	867794411	1070645091	1295093651	1799651952	2714620812	
.	23	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
